product_code,linked_quote_item_code,supplier_name,brand,range,product_name,model,category,subcategory,product_family,colour,finish,size,width,height,depth,variant_name,primary_image,gallery_images,official_product_url,specification_url,rrp,builder_cost,client_price,currency,gst_treatment,price_effective_date,active,discontinued
NT-POR-600-TAJ-OYSTER,approved-family:flooring,National Tiles,National Tiles,Taj Mahal,Taj Mahal Oyster Polished Tile,,Flooring,Porcelain Floor Tile,flooring,Oyster,POLISHED,600x600mm,600,600,,Taj Mahal Oyster,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-type/porcelain-tiles,,69.95,69.95,69.95,AUD,GST inclusive,2026-09-07,true,false
NT-POR-300X600-BUILDER-WHITE,approved-family:flooring,National Tiles,National Tiles,Builder Range,300x600 Porcelain Floor Tile - White,Builder White,Flooring,Porcelain Floor Tile,flooring,White,MATT,300x600mm,300,600,,Builder White,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/300-x-600,,59.95,59.95,59.95,AUD,GST inclusive,2026-09-07,true,false
NT-POR-300X600-BUILDER-GREY,approved-family:flooring,National Tiles,National Tiles,Builder Range,300x600 Porcelain Floor Tile - Grey,Builder Grey,Flooring,Porcelain Floor Tile,flooring,Grey,MATT,300x600mm,300,600,,Builder Grey,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/300-x-600,,59.95,59.95,59.95,AUD,GST inclusive,2026-09-07,true,false
NT-POR-300X600-PREMIUM-STONE,approved-family:flooring,National Tiles,National Tiles,Premium Range,300x600 Porcelain Floor Tile - Stone Look,Premium Stone,Flooring,Porcelain Floor Tile,flooring,Stone,MATT,300x600mm,300,600,,Premium Stone,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-tiles/shop-by-size/300-x-600,,69.95,69.95,69.95,AUD,GST inclusive,2026-09-07,true,false
NT-LAM-ROSE-BAY-BLACKBUTT,approved-family:flooring,National Tiles,National Tiles,Rose Bay,Rose Bay Blackbutt Laminate Flooring,NT25-2255LM,Flooring,Laminate Flooring,flooring,Blackbutt,EMBOSSED,193x1213mm,193,1213,,Blackbutt,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/rose-bay-blackbutt,,26.95,26.95,26.95,AUD,GST inclusive,2026-09-07,true,false
NT-LAM-ROSE-BAY-SPOTTED-GUM,approved-family:flooring,National Tiles,National Tiles,Rose Bay,Rose Bay Spotted Gum Laminate Flooring,,Flooring,Laminate Flooring,flooring,Spotted Gum,EMBOSSED,193x1213mm,193,1213,,Spotted Gum,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-laminate-flooring,,26.95,26.95,26.95,AUD,GST inclusive,2026-09-07,true,false
NT-LAM-ROSE-BAY-MAGNOLIA,approved-family:flooring,National Tiles,National Tiles,Rose Bay,Rose Bay Magnolia Oak Laminate Flooring,,Flooring,Laminate Flooring,flooring,Magnolia Oak,MATT,193x1213mm,193,1213,,Magnolia Oak,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-laminate-flooring,,26.95,26.95,26.95,AUD,GST inclusive,2026-09-07,true,false
NT-LAM-ROSE-BAY-HAZEL,approved-family:flooring,National Tiles,National Tiles,Rose Bay,Rose Bay Hazel Oak Laminate Flooring,,Flooring,Laminate Flooring,flooring,Hazel Oak,MATT,193x1213mm,193,1213,,Hazel Oak,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-laminate-flooring,,26.95,26.95,26.95,AUD,GST inclusive,2026-09-07,true,false
NT-HYB-CAMINO-GRAMPIANS,approved-family:flooring,National Tiles,National Tiles,Camino,Camino Grampians Uniclic Hybrid Flooring,,Flooring,Hybrid Flooring,flooring,Grampians,EMBOSSED,180x1520mm,180,1520,,Grampians,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-hybrid-flooring,,34.95,34.95,34.95,AUD,GST inclusive,2026-09-07,true,false
NT-HYB-CAMINO-MEADOW,approved-family:flooring,National Tiles,National Tiles,Camino,Camino Meadow Uniclic Hybrid Flooring,,Flooring,Hybrid Flooring,flooring,Meadow,EMBOSSED,180x1520mm,180,1520,,Meadow,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-hybrid-flooring,,34.95,34.95,34.95,AUD,GST inclusive,2026-09-07,true,false
NT-HYB-CAMINO-RIDGEWAY,approved-family:flooring,National Tiles,National Tiles,Camino,Camino Ridgeway Blackbutt Uniclic Hybrid Flooring,,Flooring,Hybrid Flooring,flooring,Blackbutt,EMBOSSED,180x1520mm,180,1520,,Ridgeway Blackbutt,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-hybrid-flooring,,34.95,34.95,34.95,AUD,GST inclusive,2026-09-07,true,false
NT-HYB-CLASSIC-OAK-MILAN,approved-family:flooring,National Tiles,National Tiles,Classic Oak,Classic Oak Hybrid Milan 7mm Hybrid Flooring,,Flooring,Hybrid Flooring,flooring,Milan,EMBOSSED IN REGISTER,225x1842mm,225,1842,,Milan,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-hybrid-flooring/shop-by-thickness/7mm-flooring,,54.95,54.95,54.95,AUD,GST inclusive,2026-09-07,true,false
NT-HYB-CLASSIC-OAK-BLONDE,approved-family:flooring,National Tiles,National Tiles,Classic Oak,Classic Oak Hybrid Blonde 7mm Hybrid Flooring,,Flooring,Hybrid Flooring,flooring,Blonde,EMBOSSED IN REGISTER,225x1842mm,225,1842,,Blonde,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-hybrid-flooring/shop-by-thickness/7mm-flooring,,54.95,54.95,54.95,AUD,GST inclusive,2026-09-07,true,false
NT-VIN-KARRATHA-BLACKBUTT,approved-family:flooring,National Tiles,National Tiles,Karratha,Karratha Blackbutt 4.5mm Vinyl Plank Flooring,,Flooring,Vinyl Plank Flooring,flooring,Blackbutt,EMBOSSED,229x1524mm,229,1524,,Blackbutt,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-vinyl-flooring,,54.95,54.95,54.95,AUD,GST inclusive,2026-09-07,true,false
NT-VIN-KARRATHA-SPOTTED-GUM,approved-family:flooring,National Tiles,National Tiles,Karratha,Karratha Spotted Gum 4.5mm Vinyl Plank Flooring,,Flooring,Vinyl Plank Flooring,flooring,Spotted Gum,EMBOSSED,229x1524mm,229,1524,,Spotted Gum,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-vinyl-flooring,,54.95,54.95,54.95,AUD,GST inclusive,2026-09-07,true,false
NT-VIN-KARRATHA-AMBER,approved-family:flooring,National Tiles,National Tiles,Karratha,Karratha Amber 4.5mm Vinyl Plank Flooring,,Flooring,Vinyl Plank Flooring,flooring,Amber,EMBOSSED,229x1524mm,229,1524,,Amber,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-vinyl-flooring,,54.95,54.95,54.95,AUD,GST inclusive,2026-09-07,true,false
NT-ENG-NEMORA-TAS-OAK,approved-family:flooring,National Tiles,National Tiles,Nemora,Nemora Tasmanian Oak Satin Engineered Timber Flooring,,Flooring,Engineered Timber Flooring,flooring,Tasmanian Oak,SATIN,170x1820mm,170,1820,,Tasmanian Oak,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-timber-fooring,,149.95,149.95,149.95,AUD,GST inclusive,2026-09-07,true,false
NT-ENG-NEMORA-SPOTTED-GUM,approved-family:flooring,National Tiles,National Tiles,Nemora,Nemora Spotted Gum Satin Engineered Timber Flooring,,Flooring,Engineered Timber Flooring,flooring,Spotted Gum,SATIN,136x1820mm,136,1820,,Spotted Gum,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-timber-fooring,,139.95,139.95,139.95,AUD,GST inclusive,2026-09-07,true,false
NT-ENG-NEMORA-BLACKBUTT,approved-family:flooring,National Tiles,National Tiles,Nemora,Nemora Blackbutt Satin Engineered Timber Flooring,,Flooring,Engineered Timber Flooring,flooring,Blackbutt,SATIN,136x1820mm,136,1820,,Blackbutt,https://images.unsplash.com/photo-1600566752355-35792bedcfea?auto=format&fit=crop&w=900&q=80,,https://www.nationaltiles.com.au/shop-timber-fooring,,139.95,139.95,139.95,AUD,GST inclusive,2026-09-07,true,false
