product_id,brand,family,model,source_file,source_sheet,source_row_ids,product_page_status,product_page_url,description_status,specification_status,source_checked_at,manual_review_required,manual_review_reason
product:appliances:cooktops:omega:oi90z,Omega,cooktops,OI90Z,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,113,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:smeg:pga64,Smeg,cooktops,PGA64,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,227,verified-exact-model,https://www.smeg.com/au/products/PGA64,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:smeg:pga95,Smeg,cooktops,PGA95,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,242,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:smeg:sai4954d,Smeg,cooktops,SAI4954D,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,236,verified-exact-model,https://www.smeg.com/au/products/SAI4954D,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:smeg:si2641d,Smeg,cooktops,SI2641D,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,221,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:cooktops:westinghouse:whc642bc,Westinghouse,cooktops,WHC642BC,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,179,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whc642bc/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:westinghouse:whg644sc,Westinghouse,cooktops,WHG644SC,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,185,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whg644sc/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:westinghouse:whg958sc,Westinghouse,cooktops,WHG958SC,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,200,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whg958sc/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:cooktops:westinghouse:whi955bd,Westinghouse,cooktops,WHI955BD,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,194,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whi955bd/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,57|63|72|78|83|88|94,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:dishwashers:blanco:bdw146x,Blanco,dishwashers,BDW146X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,140|146|155|161|166|170|175,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,14|20|29|35|40|45|51,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,100|106|115|127|131|134,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:dishwashers:smeg:dwau6315x3,Smeg,dishwashers,DWAU6315X3,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,223|229|238|244|249|254|259,verified-exact-model,https://www.smeg.com/au/products/DWAU6315X3,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:dishwashers:westinghouse:wsf6606x,Westinghouse,dishwashers,WSF6606X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,181|187|196|202|207|212|217,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:freestanding-cookers:ariston:cp059mdx,Ariston,freestanding-cookers,CP059MDX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,81|86,verified-exact-model,https://ariston.com.au/inventory/freestanding-cooker-cp059mdx-2/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:freestanding-cookers:blanco:bfs90wx,Blanco,freestanding-cookers,BFS90WX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,164|168,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,freestanding-cookers,GG90S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,38|43,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:freestanding-cookers:omega:of916fx,Omega,freestanding-cookers,OF916FX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,125|129,verified-exact-model,https://omegaappliances.com.au/product/90cm-9-function-freestanding-oven-of916fx/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:freestanding-cookers:smeg:fs9606as-1,Smeg,freestanding-cookers,FS9606AS-1,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,247|252,verified-exact-model,https://www.smeg.com/au/products/FS9606AS-1,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:freestanding-cookers:westinghouse:wfe9515sd,Westinghouse,freestanding-cookers,WFE9515SD,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,205|210,verified-exact-model,https://www.westinghouse.com.au/cooking/freestanding-ovens/wfe9515sd/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:ovens:ariston:fa5834hixaaus,Ariston,ovens,FA5834HIXAAUS,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,54|60,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,ovens,FI9 891 SP IX A AUS,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,69|75,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:blanco:bose65xm,Blanco,ovens,BOSE65XM,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,137|143,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:blanco:bose90x,Blanco,ovens,BOSE90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,152|158,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:euromaid:eo605dtb,Euromaid,ovens,EO605DTB,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,11|17,verified-exact-model,https://www.euromaid.com/en-au/60cm-5-function-built-in-oven-dark-stainless,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:ovens:euromaid:eo916astb,Euromaid,ovens,EO916ASTB,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,26|32,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:omega:obo660x,Omega,ovens,OBO660X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,97|103,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:omega:obo960x1,Omega,ovens,OBO960X1,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,112|119,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:smeg:sf64m3tvx,Smeg,ovens,SF64M3TVX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,220|226,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:smeg:sfpa9395x1,Smeg,ovens,SFPA9395X1,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,235|241,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:westinghouse:wve6314dd,Westinghouse,ovens,WVE6314DD,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,178|184,verified-exact-model,https://www.westinghouse.com.au/cooking/ovens/wve6314dd/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:ovens:westinghouse:wve916sc,Westinghouse,ovens,WVE916SC,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,193|199,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhc60x,Ariston,rangehoods,ARHC60X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,66,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhc90x,Ariston,rangehoods,ARHC90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,82|91,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhs60x,Ariston,rangehoods,ARHS60X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,56|62,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhs90x,Ariston,rangehoods,ARHS90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,71|77,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:aru60x,Ariston,rangehoods,ARU60X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,67,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:aru90x,Ariston,rangehoods,ARU90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,87|92,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:brc60x,Blanco,rangehoods,BRC60X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,149,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:brc90x,Blanco,rangehoods,BRC90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,165|173,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru53x,Blanco,rangehoods,BRU53X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,139|145,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru60x,Blanco,rangehoods,BRU60X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,150,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru90ux,Blanco,rangehoods,BRU90UX,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,169|174,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru90x,Blanco,rangehoods,BRU90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,154|160,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:cpt6s,Euromaid,rangehoods,CPT6S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,23,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,rangehoods,CPT9MB,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,39|48,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:cs60s,Euromaid,rangehoods,CS60S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,24,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:fs90s,Euromaid,rangehoods,FS90S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,44|49,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:rs6s,Euromaid,rangehoods,RS6S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,13|19,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:rs9s,Euromaid,rangehoods,RS9S,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,28|34,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orc60x,Omega,rangehoods,ORC60X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,109,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orc90x,Omega,rangehoods,ORC90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,126|132,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orf60x,Omega,rangehoods,ORF60X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,110,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orf90x,Omega,rangehoods,ORF90X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,130|133,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:ort6wba,Omega,rangehoods,ORT6WBA,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,99|105,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:ort9wxa,Omega,rangehoods,ORT9WXA,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,114,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:smeg:pum601x,Smeg,rangehoods,PUM601X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,233,verified-exact-model,https://www.smeg.com/au/products/PUM601X,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:smeg:pum901x,Smeg,rangehoods,PUM901X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,253|258,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:smeg:shw610x1,Smeg,rangehoods,SHW610X1,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,232,verified-exact-model,https://www.smeg.com/au/products/SHW610X1,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:smeg:shw910x2,Smeg,rangehoods,SHW910X2,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,248|257,verified-exact-model,https://www.smeg.com/au/products/SHW910X2,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:smeg:sth600x,Smeg,rangehoods,STH600X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,222|228,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:smeg:sth900x,Smeg,rangehoods,STH900X,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,237|243,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:westinghouse:wrc614sd,Westinghouse,rangehoods,WRC614SD,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,190,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrc614sd/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wrc914sd,Westinghouse,rangehoods,WRC914SD,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,206|215,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrc914sd/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wrf610wa,Westinghouse,rangehoods,WRF610WA,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,191,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrf610wa/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wrf910wa,Westinghouse,rangehoods,WRF910WA,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,211|216,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrf910wa/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wri930sb,Westinghouse,rangehoods,WRI930SB,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,195|201,not-found-after-initial-pass,,source-derived-only,partial,2026-09-03,true,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:westinghouse:wrr614sb,Westinghouse,rangehoods,WRR614SB,C:\Users\grant\Downloads\Appliances.xlsx,Quote Import,180|186,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrr614sb/,verified-basic,partial,2026-09-03,true,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
