source_row_id,canonical_type,canonical_id,brand,family,model,name,unit,price,action
27,product-component,product:appliances:cooktops:euromaid:ecck900,Euromaid,cooktops,ECCK900,EUROMAID 90CM CERAMIC COOKTOP ECCK900,EACH,899,map workbook component row to canonical Product Library product
28,product-component,product:appliances:rangehoods:euromaid:rs9s,Euromaid,rangehoods,RS9S,EUROMAID 90CM SLIDE OUT RANGEHOOD RS9S,EACH,399,map workbook component row to canonical Product Library product
29,product-component,product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,EUROMAID 60CM DISHWASHER EDW14S,EACH,599,map workbook component row to canonical Product Library product
30,package,pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,Euromaid,appliance-packs,,EUROMAID PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,3096,map workbook package row to canonical Product Library package
32,product-component,product:appliances:ovens:euromaid:eo916astb,Euromaid,ovens,EO916ASTB,EUROMAID 90CM BUILT-IN OVEN EO916ASTB,EACH,1199,map workbook component row to canonical Product Library product
33,product-component,product:appliances:cooktops:euromaid:gc90s,Euromaid,cooktops,GC90S,EUROMAID 90CM GAS COOKTOP GC90S,EACH,599,map workbook component row to canonical Product Library product
34,product-component,product:appliances:rangehoods:euromaid:rs9s,Euromaid,rangehoods,RS9S,EUROMAID 90CM SLIDE OUT RANGEHOOD RS9S,EACH,399,map workbook component row to canonical Product Library product
35,product-component,product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,EUROMAID 60CM DISHWASHER EDW14S,EACH,599,map workbook component row to canonical Product Library product
36,package,pack:appliances:euromaid:euromaid-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,Euromaid,appliance-packs,,EUROMAID PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,2796,map workbook package row to canonical Product Library package
38,product-component,product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,freestanding-cookers,GG90S,EUROMAID 90CM DUAL FUEL FREESTANDING COOKER GG90S,EACH,1699,map workbook component row to canonical Product Library product
39,product-component,product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,rangehoods,CPT9MB,EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,EACH,505,map workbook component row to canonical Product Library product
40,product-component,product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,EUROMAID 60CM DISHWASHER EDW14S,EACH,599,map workbook component row to canonical Product Library product
41,package,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,Euromaid,appliance-packs,,EUROMAID PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,PACK,2803,map workbook package row to canonical Product Library package
43,product-component,product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,freestanding-cookers,GG90S,EUROMAID 90CM DUAL FUEL FREESTANDING COOKER GG90S,EACH,1699,map workbook component row to canonical Product Library product
44,product-component,product:appliances:rangehoods:euromaid:fs90s,Euromaid,rangehoods,FS90S,EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S,EACH,299,map workbook component row to canonical Product Library product
45,product-component,product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,EUROMAID 60CM DISHWASHER EDW14S,EACH,599,map workbook component row to canonical Product Library product
46,package,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,Euromaid,appliance-packs,,EUROMAID PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,PACK,2597,map workbook package row to canonical Product Library package
48,product-component,product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,rangehoods,CPT9MB,EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,EACH,505,map workbook component row to canonical Product Library product
49,product-component,product:appliances:rangehoods:euromaid:fs90s,Euromaid,rangehoods,FS90S,EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S,EACH,299,map workbook component row to canonical Product Library product
51,product-component,product:appliances:dishwashers:euromaid:edw14s,Euromaid,dishwashers,EDW14S,EUROMAID 60CM DISHWASHER EDW14S,EACH,599,map workbook component row to canonical Product Library product
54,product-component,product:appliances:ovens:ariston:fa5834hixaaus,Ariston,ovens,FA5834HIXAAUS,ARISTON 60CM ELECTRIC OVEN FA5834HIXAAUS,EACH,1199,map workbook component row to canonical Product Library product
55,product-component,product:appliances:cooktops:ariston:pf604ix,Ariston,cooktops,PF604IX,ARISTON 60CM ELECTRIC COOKTOP PF604IX,EACH,699,map workbook component row to canonical Product Library product
56,product-component,product:appliances:rangehoods:ariston:arhs60x,Ariston,rangehoods,ARHS60X,ARISTON 60CM SLIDE OUT RANGEHOOD ARHS60X,EACH,399,map workbook component row to canonical Product Library product
57,product-component,product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,ARISTON 60CM DISHWASHER LFO3C23WF,EACH,799,map workbook component row to canonical Product Library product
58,package,pack:appliances:ariston:ariston-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,Ariston,appliance-packs,,ARISTON PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,3096,map workbook package row to canonical Product Library package
60,product-component,product:appliances:ovens:ariston:fa5834hixaaus,Ariston,ovens,FA5834HIXAAUS,ARISTON 60CM ELECTRIC OVEN FA5834HIXAAUS,EACH,1199,map workbook component row to canonical Product Library product
61,product-component,product:appliances:cooktops:ariston:pc640ntx,Ariston,cooktops,PC640NTX,ARISTON 60CM GAS COOKTOP PC640NTX,EACH,699,map workbook component row to canonical Product Library product
62,product-component,product:appliances:rangehoods:ariston:arhs60x,Ariston,rangehoods,ARHS60X,ARISTON 60CM SLIDE OUT RANGEHOOD ARHS60X,EACH,399,map workbook component row to canonical Product Library product
63,product-component,product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,ARISTON 60CM DISHWASHER LFO3C23WF,EACH,799,map workbook component row to canonical Product Library product
64,package,pack:appliances:ariston:ariston-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,Ariston,appliance-packs,,ARISTON PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,3096,map workbook package row to canonical Product Library package
66,product-component,product:appliances:rangehoods:ariston:arhc60x,Ariston,rangehoods,ARHC60X,ARISTON 600MM CANOPY RANGEHOOD OPTION - ARISTON 60CM CANOPY RANGEHOOD ARHC60X,EACH,499,map workbook component row to canonical Product Library product
67,product-component,product:appliances:rangehoods:ariston:aru60x,Ariston,rangehoods,ARU60X,ARISTON 600MM UNDER CUPBOARD RANGEHOOD OPTION - ARISTON 60CM UNDER CUPBOARD RANGEHOOD ARU60X,EACH,349,map workbook component row to canonical Product Library product
69,product-component,product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,ovens,FI9 891 SP IX A AUS,ARISTON 90CM BUILT-IN OVEN FI9 891 SP IX A AUS,EACH,1899,map workbook component row to canonical Product Library product
70,product-component,product:appliances:cooktops:ariston:nio-844-do-b-aus,Ariston,cooktops,NIO 844 DO B AUS,ARISTON 90CM INDUCTION COOKTOP NIO 844 DO B AUS,EACH,1399,map workbook component row to canonical Product Library product
71,product-component,product:appliances:rangehoods:ariston:arhs90x,Ariston,rangehoods,ARHS90X,ARISTON 90CM SLIDE OUT RANGEHOOD ARHS90X,EACH,499,map workbook component row to canonical Product Library product
72,product-component,product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,ARISTON 60CM DISHWASHER LFO3C23WF,EACH,799,map workbook component row to canonical Product Library product
73,package,pack:appliances:ariston:ariston-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,Ariston,appliance-packs,,ARISTON PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,4596,map workbook package row to canonical Product Library package
75,product-component,product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,ovens,FI9 891 SP IX A AUS,ARISTON 90CM BUILT-IN OVEN FI9 891 SP IX A AUS,EACH,1899,map workbook component row to canonical Product Library product
76,product-component,product:appliances:cooktops:ariston:pkq-755-d-gh-aus,Ariston,cooktops,PKQ 755 D GH AUS,ARISTON 90CM GAS COOKTOP PKQ 755 D GH AUS,EACH,999,map workbook component row to canonical Product Library product
77,product-component,product:appliances:rangehoods:ariston:arhs90x,Ariston,rangehoods,ARHS90X,ARISTON 90CM SLIDE OUT RANGEHOOD ARHS90X,EACH,499,map workbook component row to canonical Product Library product
78,product-component,product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,ARISTON 60CM DISHWASHER LFO3C23WF,EACH,799,map workbook component row to canonical Product Library product
79,package,pack:appliances:ariston:ariston-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,Ariston,appliance-packs,,ARISTON PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,4196,map workbook package row to canonical Product Library package
81,product-component,product:appliances:freestanding-cookers:ariston:cp059mdx,Ariston,freestanding-cookers,CP059MDX,ARISTON 90CM DUAL FUEL FREESTANDING COOKER CP059MDX,EACH,2899,map workbook component row to canonical Product Library product
82,product-component,product:appliances:rangehoods:ariston:arhc90x,Ariston,rangehoods,ARHC90X,ARISTON 90CM CANOPY RANGEHOOD ARHC90X,EACH,699,map workbook component row to canonical Product Library product
83,product-component,product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,ARISTON 60CM DISHWASHER LFO3C23WF,EACH,799,map workbook component row to canonical Product Library product
84,package,pack:appliances:ariston:ariston-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,Ariston,appliance-packs,,ARISTON PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,PACK,4397,map workbook package row to canonical Product Library package
86,product-component,product:appliances:freestanding-cookers:ariston:cp059mdx,Ariston,freestanding-cookers,CP059MDX,ARISTON 90CM DUAL FUEL FREESTANDING COOKER CP059MDX,EACH,2899,map workbook component row to canonical Product Library product
87,product-component,product:appliances:rangehoods:ariston:aru90x,Ariston,rangehoods,ARU90X,ARISTON 90CM UNDER CUPBOARD RANGEHOOD ARU90X,EACH,499,map workbook component row to canonical Product Library product
88,product-component,product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,ARISTON 60CM DISHWASHER LFO3C23WF,EACH,799,map workbook component row to canonical Product Library product
89,package,pack:appliances:ariston:ariston-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,Ariston,appliance-packs,,ARISTON PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,PACK,4197,map workbook package row to canonical Product Library package
91,product-component,product:appliances:rangehoods:ariston:arhc90x,Ariston,rangehoods,ARHC90X,ARISTON 90CM CANOPY RANGEHOOD ARHC90X,EACH,699,map workbook component row to canonical Product Library product
92,product-component,product:appliances:rangehoods:ariston:aru90x,Ariston,rangehoods,ARU90X,ARISTON 90CM UNDER CUPBOARD RANGEHOOD ARU90X,EACH,499,map workbook component row to canonical Product Library product
94,product-component,product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,dishwashers,LFO3C23WF,ARISTON 60CM DISHWASHER LFO3C23WF,EACH,799,map workbook component row to canonical Product Library product
97,product-component,product:appliances:ovens:omega:obo660x,Omega,ovens,OBO660X,OMEGA 60CM 4 FUNCTION OVEN OBO660X,EACH,599,map workbook component row to canonical Product Library product
98,product-component,product:appliances:cooktops:omega:oci64z,Omega,cooktops,OCI64Z,OMEGA 60CM INDUCTION COOKTOP OCI64Z,EACH,899,map workbook component row to canonical Product Library product
99,product-component,product:appliances:rangehoods:omega:ort6wba,Omega,rangehoods,ORT6WBA,OMEGA 60CM SLIDE OUT RANGEHOOD ORT6WBA,EACH,299,map workbook component row to canonical Product Library product
100,product-component,product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,699,map workbook component row to canonical Product Library product
101,package,pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,Omega,appliance-packs,,OMEGA PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,2496,map workbook package row to canonical Product Library package
103,product-component,product:appliances:ovens:omega:obo660x,Omega,ovens,OBO660X,OMEGA 60CM 4 FUNCTION OVEN OBO660X,EACH,599,map workbook component row to canonical Product Library product
104,product-component,product:appliances:cooktops:omega:ocg604x,Omega,cooktops,OCG604X,OMEGA 60CM 4 BURNER GAS COOKTOP OCG604X,EACH,399,map workbook component row to canonical Product Library product
105,product-component,product:appliances:rangehoods:omega:ort6wba,Omega,rangehoods,ORT6WBA,OMEGA 60CM SLIDE OUT RANGEHOOD ORT6WBA,EACH,299,map workbook component row to canonical Product Library product
106,product-component,product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,699,map workbook component row to canonical Product Library product
107,package,pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,Omega,appliance-packs,,OMEGA PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,1996,map workbook package row to canonical Product Library package
109,product-component,product:appliances:rangehoods:omega:orc60x,Omega,rangehoods,ORC60X,OMEGA 600MM CANOPY RANGEHOOD OPTION - OMEGA 60CM CANOPY RANGEHOOD ORC60X,EACH,399,map workbook component row to canonical Product Library product
110,product-component,product:appliances:rangehoods:omega:orf60x,Omega,rangehoods,ORF60X,OMEGA 600MM UNDER CUPBOARD RANGEHOOD OPTION - OMEGA 60CM UNDER CUPBOARD RANGEHOOD ORF60X,EACH,249,map workbook component row to canonical Product Library product
112,product-component,product:appliances:ovens:omega:obo960x1,Omega,ovens,OBO960X1,OMEGA 90CM 9 FUNCTION OVEN OBO960X1,EACH,1199,map workbook component row to canonical Product Library product
113,product-component,product:appliances:cooktops:omega:oi90z,Omega,cooktops,OI90Z,OMEGA 90CM INDUCTION COOKTOP OI90Z,EACH,1399,map workbook component row to canonical Product Library product
114,product-component,product:appliances:rangehoods:omega:ort9wxa,Omega,rangehoods,ORT9WXA,OMEGA 90CM SLIDE OUT RANGEHOOD ORT9WXA,EACH,399,map workbook component row to canonical Product Library product
115,product-component,product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,699,map workbook component row to canonical Product Library product
116,package,pack:appliances:omega:omega-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,Omega,appliance-packs,,OMEGA PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,3696,map workbook package row to canonical Product Library package
118,package,pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,Omega,appliance-packs,,OMEGA PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,2996,map workbook package row to canonical Product Library package
119,product-component,product:appliances:ovens:omega:obo960x1,Omega,ovens,OBO960X1,OMEGA 90CM 9 FUNCTION OVEN OBO960X1,EACH,1199,map workbook component row to canonical Product Library product
120,workbook-only-review-exclusion,,,,,- OMEGA 90CM 5 BURNER GAS COOKTOP OCG95FFX,EACH,699,workbook-only product not present in accepted 83-product Checkpoint A baseline
121,workbook-only-review-exclusion,,,,,- OMEGA 90CM SLIDE OUT RANGEHOOD ORT9WXA,EACH,399,workbook-only duplicate component relationship not present in accepted 159-relationship Checkpoint A baseline
122,workbook-only-review-exclusion,,,,,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,699,workbook-only duplicate component relationship not present in accepted 159-relationship Checkpoint A baseline
123,package,pack:appliances:omega:omega-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,Omega,appliance-packs,,OMEGA PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,PACK,3147,map workbook package row to canonical Product Library package
125,product-component,product:appliances:freestanding-cookers:omega:of916fx,Omega,freestanding-cookers,OF916FX,OMEGA 90CM 9 FUNCTION FREESTANDING OVEN OF916FX,EACH,1899,map workbook component row to canonical Product Library product
126,product-component,product:appliances:rangehoods:omega:orc90x,Omega,rangehoods,ORC90X,OMEGA 90CM CANOPY RANGEHOOD ORC90X,EACH,549,map workbook component row to canonical Product Library product
127,product-component,product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,699,map workbook component row to canonical Product Library product
128,package,pack:appliances:omega:omega-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,Omega,appliance-packs,,OMEGA PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,PACK,2947,map workbook package row to canonical Product Library package
129,product-component,product:appliances:freestanding-cookers:omega:of916fx,Omega,freestanding-cookers,OF916FX,OMEGA 90CM 9 FUNCTION FREESTANDING OVEN OF916FX,EACH,1899,map workbook component row to canonical Product Library product
130,product-component,product:appliances:rangehoods:omega:orf90x,Omega,rangehoods,ORF90X,OMEGA 90CM FIXED RANGEHOOD ORF90X,EACH,349,map workbook component row to canonical Product Library product
131,product-component,product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,699,map workbook component row to canonical Product Library product
132,product-component,product:appliances:rangehoods:omega:orc90x,Omega,rangehoods,ORC90X,OMEGA 90CM CANOPY RANGEHOOD ORC90X,EACH,549,map workbook component row to canonical Product Library product
133,product-component,product:appliances:rangehoods:omega:orf90x,Omega,rangehoods,ORF90X,OMEGA 90CM FIXED RANGEHOOD ORF90X,EACH,349,map workbook component row to canonical Product Library product
134,product-component,product:appliances:dishwashers:omega:odw702xb,Omega,dishwashers,ODW702XB,OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,699,map workbook component row to canonical Product Library product
137,product-component,product:appliances:ovens:blanco:bose65xm,Blanco,ovens,BOSE65XM,BLANCO 60CM ELECTRIC OVEN BOSE65XM,EACH,899,map workbook component row to canonical Product Library product
138,product-component,product:appliances:cooktops:blanco:bcc604t,Blanco,cooktops,BCC604T,BLANCO 60CM CERAMIC COOKTOP BCC604T,EACH,599,map workbook component row to canonical Product Library product
139,product-component,product:appliances:rangehoods:blanco:bru53x,Blanco,rangehoods,BRU53X,BLANCO 60CM SLIDE OUT RANGEHOOD BRU53X,EACH,449,map workbook component row to canonical Product Library product
140,product-component,product:appliances:dishwashers:blanco:bdw146x,Blanco,dishwashers,BDW146X,BLANCO 60CM FREESTANDING DISHWASHER BDW146X,EACH,799,map workbook component row to canonical Product Library product
141,package,pack:appliances:blanco:blanco-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,Blanco,appliance-packs,,BLANCO PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,2746,map workbook package row to canonical Product Library package
143,product-component,product:appliances:ovens:blanco:bose65xm,Blanco,ovens,BOSE65XM,BLANCO 60CM ELECTRIC OVEN BOSE65XM,EACH,899,map workbook component row to canonical Product Library product
144,product-component,product:appliances:cooktops:blanco:bcg604wx,Blanco,cooktops,BCG604WX,BLANCO 60CM GAS COOKTOP BCG604WX,EACH,599,map workbook component row to canonical Product Library product
145,product-component,product:appliances:rangehoods:blanco:bru53x,Blanco,rangehoods,BRU53X,BLANCO 60CM SLIDE OUT RANGEHOOD BRU53X,EACH,449,map workbook component row to canonical Product Library product
146,product-component,product:appliances:dishwashers:blanco:bdw146x,Blanco,dishwashers,BDW146X,BLANCO 60CM FREESTANDING DISHWASHER BDW146X,EACH,799,map workbook component row to canonical Product Library product
147,workbook-only-review-exclusion,,,,,BLANCO PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,2746,workbook-only package not present in accepted 35-package Checkpoint A baseline
149,product-component,product:appliances:rangehoods:blanco:brc60x,Blanco,rangehoods,BRC60X,BLANCO 600MM CANOPY RANGEHOOD OPTION - BLANCO 60CM CANOPY RANGEHOOD BRC60X,EACH,599,map workbook component row to canonical Product Library product
150,product-component,product:appliances:rangehoods:blanco:bru60x,Blanco,rangehoods,BRU60X,BLANCO 600MM UNDER CUPBOARD RANGEHOOD OPTION - BLANCO 60CM UNDERMOUNT RANGEHOOD BRU60X,EACH,699,map workbook component row to canonical Product Library product
152,product-component,product:appliances:ovens:blanco:bose90x,Blanco,ovens,BOSE90X,BLANCO 90CM ELECTRIC OVEN BOSE90X,EACH,1599,map workbook component row to canonical Product Library product
153,product-component,product:appliances:cooktops:blanco:bic90x,Blanco,cooktops,BIC90X,BLANCO 90CM INDUCTION COOKTOP BIC90X,EACH,1499,map workbook component row to canonical Product Library product
154,product-component,product:appliances:rangehoods:blanco:bru90x,Blanco,rangehoods,BRU90X,BLANCO 90CM SLIDE OUT RANGEHOOD BRU90X,EACH,599,map workbook component row to canonical Product Library product
155,product-component,product:appliances:dishwashers:blanco:bdw146x,Blanco,dishwashers,BDW146X,BLANCO 60CM FREESTANDING DISHWASHER BDW146X,EACH,799,map workbook component row to canonical Product Library product
156,package,pack:appliances:blanco:blanco-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,Blanco,appliance-packs,,BLANCO PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,4496,map workbook package row to canonical Product Library package
158,product-component,product:appliances:ovens:blanco:bose90x,Blanco,ovens,BOSE90X,BLANCO 90CM ELECTRIC OVEN BOSE90X,EACH,1599,map workbook component row to canonical Product Library product
159,product-component,product:appliances:cooktops:blanco:bcg905wx,Blanco,cooktops,BCG905WX,BLANCO 90CM GAS COOKTOP BCG905WX,EACH,899,map workbook component row to canonical Product Library product
160,product-component,product:appliances:rangehoods:blanco:bru90x,Blanco,rangehoods,BRU90X,BLANCO 90CM SLIDE OUT RANGEHOOD BRU90X,EACH,599,map workbook component row to canonical Product Library product
161,product-component,product:appliances:dishwashers:blanco:bdw146x,Blanco,dishwashers,BDW146X,BLANCO 60CM FREESTANDING DISHWASHER BDW146X,EACH,799,map workbook component row to canonical Product Library product
162,package,pack:appliances:blanco:blanco-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,Blanco,appliance-packs,,BLANCO PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,3896,map workbook package row to canonical Product Library package
164,product-component,product:appliances:freestanding-cookers:blanco:bfs90wx,Blanco,freestanding-cookers,BFS90WX,BLANCO 90CM DUAL FUEL FREESTANDING COOKER BFS90WX,EACH,2499,map workbook component row to canonical Product Library product
