productId,brandName,manufacturerModel,familyId,reason
product:appliances:dishwashers:blanco:bdw146x,Blanco,BDW146X,dishwashers,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:dishwashers:euromaid:edw14s,Euromaid,EDW14S,dishwashers,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:dishwashers:omega:odw702xb,Omega,ODW702XB,dishwashers,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:dishwashers:smeg:dwau6315x3,Smeg,DWAU6315X3,dishwashers,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:dishwashers:westinghouse:wsf6606x,Westinghouse,WSF6606X,dishwashers,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:freestanding-cookers:ariston:cp059mdx,Ariston,CP059MDX,freestanding-cookers,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:freestanding-cookers:blanco:bfs90wx,Blanco,BFS90WX,freestanding-cookers,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,GG90S,freestanding-cookers,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:freestanding-cookers:omega:of916fx,Omega,OF916FX,freestanding-cookers,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:freestanding-cookers:smeg:fs9606as-1,Smeg,FS9606AS-1,freestanding-cookers,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:freestanding-cookers:westinghouse:wfe9515sd,Westinghouse,WFE9515SD,freestanding-cookers,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:ovens:ariston:fa5834hixaaus,Ariston,FA5834HIXAAUS,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,FI9 891 SP IX A AUS,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:blanco:bose65xm,Blanco,BOSE65XM,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:blanco:bose90x,Blanco,BOSE90X,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:euromaid:eo605dtb,Euromaid,EO605DTB,ovens,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:ovens:euromaid:eo916astb,Euromaid,EO916ASTB,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:omega:obo660x,Omega,OBO660X,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:omega:obo960x1,Omega,OBO960X1,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:smeg:sf64m3tvx,Smeg,SF64M3TVX,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:smeg:sfpa9395x1,Smeg,SFPA9395X1,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:ovens:westinghouse:wve6314dd,Westinghouse,WVE6314DD,ovens,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:ovens:westinghouse:wve916sc,Westinghouse,WVE916SC,ovens,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhc60x,Ariston,ARHC60X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhc90x,Ariston,ARHC90X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhs60x,Ariston,ARHS60X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:arhs90x,Ariston,ARHS90X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:aru60x,Ariston,ARU60X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:ariston:aru90x,Ariston,ARU90X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:brc60x,Blanco,BRC60X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:brc90x,Blanco,BRC90X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru53x,Blanco,BRU53X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru60x,Blanco,BRU60X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru90ux,Blanco,BRU90UX,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:blanco:bru90x,Blanco,BRU90X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:cpt6s,Euromaid,CPT6S,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,CPT9MB,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:cs60s,Euromaid,CS60S,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:fs90s,Euromaid,FS90S,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:rs6s,Euromaid,RS6S,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:euromaid:rs9s,Euromaid,RS9S,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orc60x,Omega,ORC60X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orc90x,Omega,ORC90X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orf60x,Omega,ORF60X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:orf90x,Omega,ORF90X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:ort6wba,Omega,ORT6WBA,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:omega:ort9wxa,Omega,ORT9WXA,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:smeg:pum601x,Smeg,PUM601X,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:smeg:pum901x,Smeg,PUM901X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:smeg:shw610x1,Smeg,SHW610X1,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:smeg:shw910x2,Smeg,SHW910X2,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:smeg:sth600x,Smeg,STH600X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:smeg:sth900x,Smeg,STH900X,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:westinghouse:wrc614sd,Westinghouse,WRC614SD,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wrc914sd,Westinghouse,WRC914SD,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wrf610wa,Westinghouse,WRF610WA,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wrf910wa,Westinghouse,WRF910WA,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
product:appliances:rangehoods:westinghouse:wri930sb,Westinghouse,WRI930SB,rangehoods,Exact product page/image/specification source not verified after initial Checkpoint 2B pass.
product:appliances:rangehoods:westinghouse:wrr614sb,Westinghouse,WRR614SB,rangehoods,Exact product source found; image licence/direct asset and full manufacturer specifications still need manual verification.
