productId,brandName,manufacturerModel,familyId,primaryImage,localAssetPath,imageStatus,imageVerificationStatus,imageSourceUrl,imageSourceType,imageSourceOrganisation,imageAttribution,imageCheckedAt,productPageUrl,result,reasonForReview
product:appliances:cooktops:westinghouse:whc642bc,Westinghouse,WHC642BC,cooktops,/images/catalogues/appliances/products/westinghouse/whc642bc.png,/images/catalogues/appliances/products/westinghouse/whc642bc.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whc642bc/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/cooktops/whc642bc/,verified,Previously verified exact model WHC642BC; remote image stored locally for Product Library display.
product:appliances:cooktops:westinghouse:whg644sc,Westinghouse,WHG644SC,cooktops,/images/catalogues/appliances/products/westinghouse/whg644sc.png,/images/catalogues/appliances/products/westinghouse/whg644sc.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whg644sc/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/cooktops/whg644sc/,verified,Previously verified exact model WHG644SC; remote image stored locally for Product Library display.
product:appliances:cooktops:westinghouse:whg958sc,Westinghouse,WHG958SC,cooktops,/images/catalogues/appliances/products/westinghouse/whg958sc.png,/images/catalogues/appliances/products/westinghouse/whg958sc.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whg958sc/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/cooktops/whg958sc/,verified,Previously verified exact model WHG958SC; remote image stored locally for Product Library display.
product:appliances:cooktops:westinghouse:whi955bd,Westinghouse,WHI955BD,cooktops,/images/catalogues/appliances/products/westinghouse/whi955bd.png,/images/catalogues/appliances/products/westinghouse/whi955bd.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/cooktops/whi955bd/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/cooktops/whi955bd/,verified,Previously verified exact model WHI955BD; remote image stored locally for Product Library display.
product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,LFO3C23WF,dishwashers,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:dishwashers:blanco:bdw146x,Blanco,BDW146X,dishwashers,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:dishwashers:euromaid:edw14s,Euromaid,EDW14S,dishwashers,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:dishwashers:omega:odw702xb,Omega,ODW702XB,dishwashers,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:dishwashers:smeg:dwau6315x3,Smeg,DWAU6315X3,dishwashers,/images/catalogues/appliances/products/smeg/dwau6315x3.jpg,/images/catalogues/appliances/products/smeg/dwau6315x3.jpg,verified-official-local,verified-exact-model,https://www.smeg.com/au/products/DWAU6315X3,official-australian-product-page,Smeg,Smeg,2026-09-04,https://www.smeg.com/au/products/DWAU6315X3,verified,Previously verified exact model DWAU6315X3; remote image stored locally for Product Library display.
product:appliances:dishwashers:westinghouse:wsf6606x,Westinghouse,WSF6606X,dishwashers,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:freestanding-cookers:ariston:cp059mdx,Ariston,CP059MDX,freestanding-cookers,,,exact-image-unavailable,unresolved,https://ariston.com.au/inventory/freestanding-cooker-cp059mdx-2/,,Ariston Australia,,2026-09-04,https://ariston.com.au/inventory/freestanding-cooker-cp059mdx-2/,unresolved,Exact model image source not verified after official-source pass.
product:appliances:freestanding-cookers:blanco:bfs90wx,Blanco,BFS90WX,freestanding-cookers,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,GG90S,freestanding-cookers,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:freestanding-cookers:omega:of916fx,Omega,OF916FX,freestanding-cookers,,,exact-image-unavailable,unresolved,https://omegaappliances.com.au/product/90cm-9-function-freestanding-oven-of916fx/,,Omega Appliances Australia,,2026-09-04,https://omegaappliances.com.au/product/90cm-9-function-freestanding-oven-of916fx/,unresolved,No exact model image source verified in this pass.
product:appliances:freestanding-cookers:smeg:fs9606as-1,Smeg,FS9606AS-1,freestanding-cookers,/images/catalogues/appliances/products/smeg/fs9606as-1.jpg,/images/catalogues/appliances/products/smeg/fs9606as-1.jpg,verified-official-local,verified-exact-model,https://www.smeg.com/au/products/FS9606AS-1,official-australian-product-page,Smeg,Smeg,2026-09-04,https://www.smeg.com/au/products/FS9606AS-1,verified,Previously verified exact model FS9606AS-1; remote image stored locally for Product Library display.
product:appliances:freestanding-cookers:westinghouse:wfe9515sd,Westinghouse,WFE9515SD,freestanding-cookers,/images/catalogues/appliances/products/westinghouse/wfe9515sd.png,/images/catalogues/appliances/products/westinghouse/wfe9515sd.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/freestanding-ovens/wfe9515sd/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/freestanding-ovens/wfe9515sd/,verified,Previously verified exact model WFE9515SD; remote image stored locally for Product Library display.
product:appliances:ovens:ariston:fa5834hixaaus,Ariston,FA5834HIXAAUS,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,FI9 891 SP IX A AUS,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:blanco:bose65xm,Blanco,BOSE65XM,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:blanco:bose90x,Blanco,BOSE90X,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:euromaid:eo605dtb,Euromaid,EO605DTB,ovens,,,exact-image-unavailable,unresolved,https://www.euromaid.com/en-au/60cm-5-function-built-in-oven-dark-stainless,,Euromaid Australia,,2026-09-04,https://www.euromaid.com/en-au/60cm-5-function-built-in-oven-dark-stainless,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:euromaid:eo916astb,Euromaid,EO916ASTB,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:omega:obo660x,Omega,OBO660X,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,No exact model image source verified in this pass.
product:appliances:ovens:omega:obo960x1,Omega,OBO960X1,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,No exact model image source verified in this pass.
product:appliances:ovens:smeg:sf64m3tvx,Smeg,SF64M3TVX,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:smeg:sfpa9395x1,Smeg,SFPA9395X1,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:ovens:westinghouse:wve6314dd,Westinghouse,WVE6314DD,ovens,/images/catalogues/appliances/products/westinghouse/wve6314dd.png,/images/catalogues/appliances/products/westinghouse/wve6314dd.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/ovens/wve6314dd/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/ovens/wve6314dd/,verified,Previously verified exact model WVE6314DD; remote image stored locally for Product Library display.
product:appliances:ovens:westinghouse:wve916sc,Westinghouse,WVE916SC,ovens,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:ariston:arhc60x,Ariston,ARHC60X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:ariston:arhc90x,Ariston,ARHC90X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:ariston:arhs60x,Ariston,ARHS60X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:ariston:arhs90x,Ariston,ARHS90X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:ariston:aru60x,Ariston,ARU60X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:ariston:aru90x,Ariston,ARU90X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:blanco:brc60x,Blanco,BRC60X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:blanco:brc90x,Blanco,BRC90X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:blanco:bru53x,Blanco,BRU53X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:blanco:bru60x,Blanco,BRU60X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:blanco:bru90ux,Blanco,BRU90UX,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:blanco:bru90x,Blanco,BRU90X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:euromaid:cpt6s,Euromaid,CPT6S,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,CPT9MB,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:euromaid:cs60s,Euromaid,CS60S,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:euromaid:fs90s,Euromaid,FS90S,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:euromaid:rs6s,Euromaid,RS6S,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:euromaid:rs9s,Euromaid,RS9S,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:omega:orc60x,Omega,ORC60X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:omega:orc90x,Omega,ORC90X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:omega:orf60x,Omega,ORF60X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:omega:orf90x,Omega,ORF90X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,No exact model image source verified in this pass.
product:appliances:rangehoods:omega:ort6wba,Omega,ORT6WBA,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:omega:ort9wxa,Omega,ORT9WXA,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:smeg:pum601x,Smeg,PUM601X,rangehoods,/images/catalogues/appliances/products/smeg/pum601x.jpg,/images/catalogues/appliances/products/smeg/pum601x.jpg,verified-official-local,verified-exact-model,https://www.smeg.com/au/products/PUM601X,official-australian-product-page,Smeg,Smeg,2026-09-04,https://www.smeg.com/au/products/PUM601X,verified,Previously verified exact model PUM601X; remote image stored locally for Product Library display.
product:appliances:rangehoods:smeg:pum901x,Smeg,PUM901X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:smeg:shw610x1,Smeg,SHW610X1,rangehoods,/images/catalogues/appliances/products/smeg/shw610x1.jpg,/images/catalogues/appliances/products/smeg/shw610x1.jpg,verified-official-local,verified-exact-model,https://www.smeg.com/au/products/SHW610X1,official-australian-product-page,Smeg,Smeg,2026-09-04,https://www.smeg.com/au/products/SHW610X1,verified,Previously verified exact model SHW610X1; remote image stored locally for Product Library display.
product:appliances:rangehoods:smeg:shw910x2,Smeg,SHW910X2,rangehoods,/images/catalogues/appliances/products/smeg/shw910x2.jpg,/images/catalogues/appliances/products/smeg/shw910x2.jpg,verified-official-local,verified-exact-model,https://www.smeg.com/au/products/SHW910X2,official-australian-product-page,Smeg,Smeg,2026-09-04,https://www.smeg.com/au/products/SHW910X2,verified,Previously verified exact model SHW910X2; remote image stored locally for Product Library display.
product:appliances:rangehoods:smeg:sth600x,Smeg,STH600X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:smeg:sth900x,Smeg,STH900X,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:westinghouse:wrc614sd,Westinghouse,WRC614SD,rangehoods,/images/catalogues/appliances/products/westinghouse/wrc614sd.png,/images/catalogues/appliances/products/westinghouse/wrc614sd.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrc614sd/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/rangehoods/wrc614sd/,verified,Previously verified exact model WRC614SD; remote image stored locally for Product Library display.
product:appliances:rangehoods:westinghouse:wrc914sd,Westinghouse,WRC914SD,rangehoods,/images/catalogues/appliances/products/westinghouse/wrc914sd.png,/images/catalogues/appliances/products/westinghouse/wrc914sd.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrc914sd/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/rangehoods/wrc914sd/,verified,Previously verified exact model WRC914SD; remote image stored locally for Product Library display.
product:appliances:rangehoods:westinghouse:wrf610wa,Westinghouse,WRF610WA,rangehoods,/images/catalogues/appliances/products/westinghouse/wrf610wa.png,/images/catalogues/appliances/products/westinghouse/wrf610wa.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrf610wa/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/rangehoods/wrf610wa/,verified,Previously verified exact model WRF610WA; remote image stored locally for Product Library display.
product:appliances:rangehoods:westinghouse:wrf910wa,Westinghouse,WRF910WA,rangehoods,/images/catalogues/appliances/products/westinghouse/wrf910wa.png,/images/catalogues/appliances/products/westinghouse/wrf910wa.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrf910wa/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/rangehoods/wrf910wa/,verified,Previously verified exact model WRF910WA; remote image stored locally for Product Library display.
product:appliances:rangehoods:westinghouse:wri930sb,Westinghouse,WRI930SB,rangehoods,,,exact-image-unavailable,unresolved,,,,,2026-09-04,,unresolved,Exact model image source not verified after official-source pass.
product:appliances:rangehoods:westinghouse:wrr614sb,Westinghouse,WRR614SB,rangehoods,/images/catalogues/appliances/products/westinghouse/wrr614sb.png,/images/catalogues/appliances/products/westinghouse/wrr614sb.png,verified-official-local,verified-exact-model,https://www.westinghouse.com.au/cooking/rangehoods/wrr614sb/,official-australian-product-page,Westinghouse,Westinghouse,2026-09-04,https://www.westinghouse.com.au/cooking/rangehoods/wrr614sb/,verified,Previously verified exact model WRR614SB; remote image stored locally for Product Library display.
