product_id,brand,model,family,search_query,source_url,source_type,source_organisation,page_accessible,exact_model_found,model_match_confidence,image_found,specifications_found,document_found,checked_at,notes
product:appliances:cooktops:euromaid:kcs4,Euromaid,KCS4,cooktops,Euromaid KCS4,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:euromaid:kcs4,Euromaid,KCS4,cooktops,"""KCS4"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:euromaid:wk60s,Euromaid,WK60S,cooktops,Euromaid WK60S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:euromaid:wk60s,Euromaid,WK60S,cooktops,"""WK60S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:omega:ocg604x,Omega,OCG604X,cooktops,Omega OCG604X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:omega:ocg604x,Omega,OCG604X,cooktops,"""OCG604X"" Omega manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:omega:oci64z,Omega,OCI64Z,cooktops,Omega OCI64Z,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:omega:oci64z,Omega,OCI64Z,cooktops,"""OCI64Z"" Omega manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:omega:oi90z,Omega,OI90Z,cooktops,Omega OI90Z,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:omega:oi90z,Omega,OI90Z,cooktops,"""OI90Z"" Omega manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:smeg:pga64,Smeg,PGA64,cooktops,Smeg PGA64,https://www.smeg.com/au/products/PGA64,official-australian-product-page,Smeg Australia,true,true,exact,true,true,false,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:cooktops:smeg:pga95,Smeg,PGA95,cooktops,Smeg PGA95,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:smeg:pga95,Smeg,PGA95,cooktops,"""PGA95"" Smeg manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:smeg:sai4954d,Smeg,SAI4954D,cooktops,Smeg SAI4954D,https://www.smeg.com/au/products/SAI4954D,official-australian-product-page,Smeg Australia,true,true,exact,true,true,false,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:cooktops:smeg:si2641d,Smeg,SI2641D,cooktops,Smeg SI2641D,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:cooktops:smeg:si2641d,Smeg,SI2641D,cooktops,"""SI2641D"" Smeg manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:cooktops:westinghouse:whc642bc,Westinghouse,WHC642BC,cooktops,Westinghouse WHC642BC,https://www.westinghouse.com.au/cooking/cooktops/whc642bc/,official-australian-product-page,Westinghouse Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:cooktops:westinghouse:whg644sc,Westinghouse,WHG644SC,cooktops,Westinghouse WHG644SC,https://www.westinghouse.com.au/cooking/cooktops/whg644sc/,official-australian-product-page,Westinghouse Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:cooktops:westinghouse:whg958sc,Westinghouse,WHG958SC,cooktops,Westinghouse WHG958SC,https://www.westinghouse.com.au/cooking/cooktops/whg958sc/,official-australian-product-page,Westinghouse Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:cooktops:westinghouse:whi955bd,Westinghouse,WHI955BD,cooktops,Westinghouse WHI955BD,https://www.westinghouse.com.au/cooking/cooktops/whi955bd/,official-australian-product-page,Westinghouse Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,LFO3C23WF,dishwashers,Ariston LFO3C23WF,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:dishwashers:ariston:lfo3c23wf,Ariston,LFO3C23WF,dishwashers,"""LFO3C23WF"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:dishwashers:blanco:bdw146x,Blanco,BDW146X,dishwashers,Blanco BDW146X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:dishwashers:blanco:bdw146x,Blanco,BDW146X,dishwashers,"""BDW146X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:dishwashers:euromaid:edw14s,Euromaid,EDW14S,dishwashers,Euromaid EDW14S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:dishwashers:euromaid:edw14s,Euromaid,EDW14S,dishwashers,"""EDW14S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:dishwashers:omega:odw702xb,Omega,ODW702XB,dishwashers,Omega ODW702XB,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:dishwashers:omega:odw702xb,Omega,ODW702XB,dishwashers,"""ODW702XB"" Omega manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:dishwashers:smeg:dwau6315x3,Smeg,DWAU6315X3,dishwashers,Smeg DWAU6315X3,https://www.smeg.com/au/products/DWAU6315X3,official-australian-product-page,Smeg Australia,true,true,exact,true,true,false,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:dishwashers:westinghouse:wsf6606x,Westinghouse,WSF6606X,dishwashers,Westinghouse WSF6606X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:dishwashers:westinghouse:wsf6606x,Westinghouse,WSF6606X,dishwashers,"""WSF6606X"" Westinghouse manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:freestanding-cookers:ariston:cp059mdx,Ariston,CP059MDX,freestanding-cookers,Ariston CP059MDX,https://ariston.com.au/inventory/freestanding-cooker-cp059mdx-2/,official-australian-product-page,Ariston Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:freestanding-cookers:blanco:bfs90wx,Blanco,BFS90WX,freestanding-cookers,Blanco BFS90WX,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:freestanding-cookers:blanco:bfs90wx,Blanco,BFS90WX,freestanding-cookers,"""BFS90WX"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,GG90S,freestanding-cookers,Euromaid GG90S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:freestanding-cookers:euromaid:gg90s,Euromaid,GG90S,freestanding-cookers,"""GG90S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:freestanding-cookers:omega:of916fx,Omega,OF916FX,freestanding-cookers,Omega OF916FX,https://omegaappliances.com.au/product/90cm-9-function-freestanding-oven-of916fx/,official-australian-product-page,Omega Appliances Australia,true,true,exact,true,true,false,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:freestanding-cookers:smeg:fs9606as-1,Smeg,FS9606AS-1,freestanding-cookers,Smeg FS9606AS-1,https://www.smeg.com/au/products/FS9606AS-1,official-australian-product-page,Smeg Australia,true,true,exact,true,true,false,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:freestanding-cookers:westinghouse:wfe9515sd,Westinghouse,WFE9515SD,freestanding-cookers,Westinghouse WFE9515SD,https://www.westinghouse.com.au/cooking/freestanding-ovens/wfe9515sd/,official-australian-product-page,Westinghouse Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:ovens:ariston:fa5834hixaaus,Ariston,FA5834HIXAAUS,ovens,Ariston FA5834HIXAAUS,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:ariston:fa5834hixaaus,Ariston,FA5834HIXAAUS,ovens,"""FA5834HIXAAUS"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,FI9 891 SP IX A AUS,ovens,Ariston FI9 891 SP IX A AUS,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:ariston:fi9-891-sp-ix-a-aus,Ariston,FI9 891 SP IX A AUS,ovens,"""FI9 891 SP IX A AUS"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:blanco:bose65xm,Blanco,BOSE65XM,ovens,Blanco BOSE65XM,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:blanco:bose65xm,Blanco,BOSE65XM,ovens,"""BOSE65XM"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:blanco:bose90x,Blanco,BOSE90X,ovens,Blanco BOSE90X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:blanco:bose90x,Blanco,BOSE90X,ovens,"""BOSE90X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:euromaid:eo605dtb,Euromaid,EO605DTB,ovens,Euromaid EO605DTB,https://www.euromaid.com/en-au/60cm-5-function-built-in-oven-dark-stainless,official-australian-product-page,Euromaid Australia,true,true,exact,true,true,false,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:ovens:euromaid:eo916astb,Euromaid,EO916ASTB,ovens,Euromaid EO916ASTB,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:euromaid:eo916astb,Euromaid,EO916ASTB,ovens,"""EO916ASTB"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:omega:obo660x,Omega,OBO660X,ovens,Omega OBO660X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:omega:obo660x,Omega,OBO660X,ovens,"""OBO660X"" Omega manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:omega:obo960x1,Omega,OBO960X1,ovens,Omega OBO960X1,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:omega:obo960x1,Omega,OBO960X1,ovens,"""OBO960X1"" Omega manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:smeg:sf64m3tvx,Smeg,SF64M3TVX,ovens,Smeg SF64M3TVX,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:smeg:sf64m3tvx,Smeg,SF64M3TVX,ovens,"""SF64M3TVX"" Smeg manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:smeg:sfpa9395x1,Smeg,SFPA9395X1,ovens,Smeg SFPA9395X1,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:smeg:sfpa9395x1,Smeg,SFPA9395X1,ovens,"""SFPA9395X1"" Smeg manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:ovens:westinghouse:wve6314dd,Westinghouse,WVE6314DD,ovens,Westinghouse WVE6314DD,https://www.westinghouse.com.au/cooking/ovens/wve6314dd/,official-australian-product-page,Westinghouse Australia,true,true,exact,true,true,true,2026-09-02,Exact model source recorded in Checkpoint 2B enrichment map.
product:appliances:ovens:westinghouse:wve916sc,Westinghouse,WVE916SC,ovens,Westinghouse WVE916SC,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:ovens:westinghouse:wve916sc,Westinghouse,WVE916SC,ovens,"""WVE916SC"" Westinghouse manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:ariston:arhc60x,Ariston,ARHC60X,rangehoods,Ariston ARHC60X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:ariston:arhc60x,Ariston,ARHC60X,rangehoods,"""ARHC60X"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:ariston:arhc90x,Ariston,ARHC90X,rangehoods,Ariston ARHC90X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:ariston:arhc90x,Ariston,ARHC90X,rangehoods,"""ARHC90X"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:ariston:arhs60x,Ariston,ARHS60X,rangehoods,Ariston ARHS60X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:ariston:arhs60x,Ariston,ARHS60X,rangehoods,"""ARHS60X"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:ariston:arhs90x,Ariston,ARHS90X,rangehoods,Ariston ARHS90X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:ariston:arhs90x,Ariston,ARHS90X,rangehoods,"""ARHS90X"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:ariston:aru60x,Ariston,ARU60X,rangehoods,Ariston ARU60X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:ariston:aru60x,Ariston,ARU60X,rangehoods,"""ARU60X"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:ariston:aru90x,Ariston,ARU90X,rangehoods,Ariston ARU90X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:ariston:aru90x,Ariston,ARU90X,rangehoods,"""ARU90X"" Ariston manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:blanco:brc60x,Blanco,BRC60X,rangehoods,Blanco BRC60X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:blanco:brc60x,Blanco,BRC60X,rangehoods,"""BRC60X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:blanco:brc90x,Blanco,BRC90X,rangehoods,Blanco BRC90X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:blanco:brc90x,Blanco,BRC90X,rangehoods,"""BRC90X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:blanco:bru53x,Blanco,BRU53X,rangehoods,Blanco BRU53X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:blanco:bru53x,Blanco,BRU53X,rangehoods,"""BRU53X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:blanco:bru60x,Blanco,BRU60X,rangehoods,Blanco BRU60X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:blanco:bru60x,Blanco,BRU60X,rangehoods,"""BRU60X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:blanco:bru90ux,Blanco,BRU90UX,rangehoods,Blanco BRU90UX,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:blanco:bru90ux,Blanco,BRU90UX,rangehoods,"""BRU90UX"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:blanco:bru90x,Blanco,BRU90X,rangehoods,Blanco BRU90X,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:blanco:bru90x,Blanco,BRU90X,rangehoods,"""BRU90X"" Blanco manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:euromaid:cpt6s,Euromaid,CPT6S,rangehoods,Euromaid CPT6S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:euromaid:cpt6s,Euromaid,CPT6S,rangehoods,"""CPT6S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,CPT9MB,rangehoods,Euromaid CPT9MB,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:euromaid:cpt9mb,Euromaid,CPT9MB,rangehoods,"""CPT9MB"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:euromaid:cs60s,Euromaid,CS60S,rangehoods,Euromaid CS60S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:euromaid:cs60s,Euromaid,CS60S,rangehoods,"""CS60S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:euromaid:fs90s,Euromaid,FS90S,rangehoods,Euromaid FS90S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:euromaid:fs90s,Euromaid,FS90S,rangehoods,"""FS90S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
product:appliances:rangehoods:euromaid:rs6s,Euromaid,RS6S,rangehoods,Euromaid RS6S,,search-attempt,,false,false,not-verified,false,false,false,2026-09-02,Initial exact brand/model research did not produce a verified source in this pass; further manual/archived research required.
product:appliances:rangehoods:euromaid:rs6s,Euromaid,RS6S,rangehoods,"""RS6S"" Euromaid manual specification image",,manual-archive-search-attempt,,false,false,not-verified,false,false,false,2026-09-02,"Queued for deeper manufacturer manual, retailer and archived-source review."
