source_row_id,brand,source_description,unit,model_from_implementation_a,model_from_implementation_b,family_from_a,family_from_b,identity_key_a,identity_key_b,classification_a,classification_b,pack_id_a,pack_id_b,product_id_a,product_id_b,price_a,price_b,discrepancy_type,recommended_resolution,evidence
1190,Euromaid,EUROMAID 600MM CANOPY RANGEHOOD OPTION - EUROMAID 60CM PYRAMID CANOPY RANGEHOOD CPT6S,EACH,OPTION - EUROMAID 60CM PYRAMID CANOPY RANGEHOOD CPT6S,CPT6S,rangehoods,rangehoods,brand-model:euromaid:option-euromaid-60cm-pyramid-canopy-rangehood-cpt6s,euromaid::cpt6s,component,component,product:appliances:appliance-packs:euromaid:1189,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:euromaid:option-euromaid-60cm-pyramid-canopy-rangehood-cpt6s,product:appliances:rangehoods:euromaid:cpt6s,379,379,model-extraction|product-identity,"Use canonical model extraction: strip option prefix, preserve hyphenated and multi-token model numbers, reject dimensions.",source row is an option label containing a physical model after OPTION -; dimension token present; not a model ID; models differ: OPTION - EUROMAID 60CM PYRAMID CANOPY RANGEHOOD CPT6S vs CPT6S; product IDs differ under old versus canonical identity
1191,Euromaid,EUROMAID 600MM UNDER CUPBOARD RANGEHOOD OPTION - EUROMAID 60CM RECIRCULATING/FIXED RANGEHOOD CS60S,EACH,CS60S,CS60S,rangehoods,rangehoods,brand-model:euromaid:cs60s,euromaid::cs60s,component,component,product:appliances:appliance-packs:euromaid:1189,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:euromaid:cs60s,product:appliances:rangehoods:euromaid:cs60s,112,112,none,No change required.,source row is an option label containing a physical model after OPTION -; dimension token present; not a model ID
1192,Euromaid,- EUROMAID 90CM BUILT-IN OVEN EO916ASTB,EACH,EO916ASTB,EO916ASTB,ovens,ovens,brand-model:euromaid:eo916astb,euromaid::eo916astb,component,component,product:appliances:appliance-packs:euromaid:1189,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:ovens:euromaid:eo916astb,product:appliances:ovens:euromaid:eo916astb,1199,1199,none,No change required.,
1193,Euromaid,- EUROMAID 90CM CERAMIC COOKTOP ECCK900,EACH,ECCK900,ECCK900,cooktops,cooktops,brand-model:euromaid:ecck900,euromaid::ecck900,component,component,product:appliances:appliance-packs:euromaid:1189,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:cooktops:euromaid:ecck900,product:appliances:cooktops:euromaid:ecck900,899,899,none,No change required.,
1194,Euromaid,- EUROMAID 90CM SLIDE OUT RANGEHOOD RS9S,EACH,RS9S,RS9S,rangehoods,rangehoods,brand-model:euromaid:rs9s,euromaid::rs9s,component,component,product:appliances:appliance-packs:euromaid:1189,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:euromaid:rs9s,product:appliances:rangehoods:euromaid:rs9s,399,399,none,No change required.,
1195,Euromaid,- EUROMAID 60CM DISHWASHER EDW14S,EACH,EDW14S,EDW14S,dishwashers,dishwashers,brand-model:euromaid:edw14s,euromaid::edw14s,component,component,product:appliances:appliance-packs:euromaid:1189,pack:appliances:euromaid:euromaid-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:dishwashers:euromaid:edw14s,product:appliances:dishwashers:euromaid:edw14s,599,599,none,No change required.,
1196,Euromaid,EUROMAID PACK - 900MM BUILT-IN ELECTRIC COOKTOP PACK - 900 OVEN / ELECTRIC COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,pack:pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:euromaid:1196,pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,,,3096,3096,none,No change required.,dimension token present; not a model ID
1197,Euromaid,- EUROMAID 90CM BUILT-IN OVEN EO916ASTB,EACH,EO916ASTB,EO916ASTB,ovens,ovens,brand-model:euromaid:eo916astb,euromaid::eo916astb,component,component,product:appliances:appliance-packs:euromaid:1196,pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,product:appliances:ovens:euromaid:eo916astb,product:appliances:ovens:euromaid:eo916astb,1199,1199,none,No change required.,
1198,Euromaid,- EUROMAID 90CM GAS COOKTOP GC90S,EACH,GC90S,GC90S,cooktops,cooktops,brand-model:euromaid:gc90s,euromaid::gc90s,component,component,product:appliances:appliance-packs:euromaid:1196,pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,product:appliances:cooktops:euromaid:gc90s,product:appliances:cooktops:euromaid:gc90s,599,599,none,No change required.,
1199,Euromaid,- EUROMAID 90CM SLIDE OUT RANGEHOOD RS9S,EACH,RS9S,RS9S,rangehoods,rangehoods,brand-model:euromaid:rs9s,euromaid::rs9s,component,component,product:appliances:appliance-packs:euromaid:1196,pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,product:appliances:rangehoods:euromaid:rs9s,product:appliances:rangehoods:euromaid:rs9s,399,399,none,No change required.,
1200,Euromaid,- EUROMAID 60CM DISHWASHER EDW14S,EACH,EDW14S,EDW14S,dishwashers,dishwashers,brand-model:euromaid:edw14s,euromaid::edw14s,component,component,product:appliances:appliance-packs:euromaid:1196,pack:appliances:euromaid:euromaid-pack-900mm-built-in-electric-cooktop-pack-900-oven-electric-cooktop-900-slideout-rangehood-dishwasher,product:appliances:dishwashers:euromaid:edw14s,product:appliances:dishwashers:euromaid:edw14s,599,599,none,No change required.,
1201,Euromaid,EUROMAID PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:euromaid:euromaid-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,pack:pack:appliances:euromaid:euromaid-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:euromaid:1201,pack:appliances:euromaid:euromaid-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,,,2796,2796,none,No change required.,dimension token present; not a model ID
1202,Euromaid,- EUROMAID 90CM DUAL FUEL FREESTANDING COOKER GG90S,EACH,GG90S,GG90S,freestanding-cookers,freestanding-cookers,brand-model:euromaid:gg90s,euromaid::gg90s,component,component,product:appliances:appliance-packs:euromaid:1201,pack:appliances:euromaid:euromaid-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,product:appliances:freestanding-cookers:euromaid:gg90s,product:appliances:freestanding-cookers:euromaid:gg90s,1699,1699,none,No change required.,
1203,Euromaid,- EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,EACH,CPT9MB,CPT9MB,rangehoods,rangehoods,brand-model:euromaid:cpt9mb,euromaid::cpt9mb,component,component,product:appliances:appliance-packs:euromaid:1201,pack:appliances:euromaid:euromaid-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,product:appliances:rangehoods:euromaid:cpt9mb,product:appliances:rangehoods:euromaid:cpt9mb,505,505,none,No change required.,
1204,Euromaid,- EUROMAID 60CM DISHWASHER EDW14S,EACH,EDW14S,EDW14S,dishwashers,dishwashers,brand-model:euromaid:edw14s,euromaid::edw14s,component,component,product:appliances:appliance-packs:euromaid:1201,pack:appliances:euromaid:euromaid-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,product:appliances:dishwashers:euromaid:edw14s,product:appliances:dishwashers:euromaid:edw14s,599,599,none,No change required.,
1205,Euromaid,EUROMAID PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,pack:pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:euromaid:1205,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,,,2803,2803,none,No change required.,dimension token present; not a model ID
1206,Euromaid,- EUROMAID 90CM DUAL FUEL FREESTANDING COOKER GG90S,EACH,GG90S,GG90S,freestanding-cookers,freestanding-cookers,brand-model:euromaid:gg90s,euromaid::gg90s,component,component,product:appliances:appliance-packs:euromaid:1205,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,product:appliances:freestanding-cookers:euromaid:gg90s,product:appliances:freestanding-cookers:euromaid:gg90s,1699,1699,none,No change required.,
1207,Euromaid,- EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S,EACH,FS90S,FS90S,rangehoods,rangehoods,brand-model:euromaid:fs90s,euromaid::fs90s,component,component,product:appliances:appliance-packs:euromaid:1205,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,product:appliances:rangehoods:euromaid:fs90s,product:appliances:rangehoods:euromaid:fs90s,299,299,none,No change required.,
1208,Euromaid,- EUROMAID 60CM DISHWASHER EDW14S,EACH,EDW14S,EDW14S,dishwashers,dishwashers,brand-model:euromaid:edw14s,euromaid::edw14s,component,component,product:appliances:appliance-packs:euromaid:1205,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-canopy-pack-upright-cooker-900-canopy-rangehood-dishwasher,product:appliances:dishwashers:euromaid:edw14s,product:appliances:dishwashers:euromaid:edw14s,599,599,none,No change required.,
1209,Euromaid,EUROMAID PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,pack:pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:euromaid:1209,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,,,2597,2597,none,No change required.,dimension token present; not a model ID
1210,Euromaid,EUROMAID 900MM CANOPY RANGEHOOD OPTION - EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,EACH,OPTION - EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB,CPT9MB,rangehoods,rangehoods,brand-model:euromaid:option-euromaid-90cm-pyramid-canopy-rangehood-cpt9mb,euromaid::cpt9mb,component,component,product:appliances:appliance-packs:euromaid:1209,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,product:appliances:rangehoods:euromaid:option-euromaid-90cm-pyramid-canopy-rangehood-cpt9mb,product:appliances:rangehoods:euromaid:cpt9mb,505,505,model-extraction|product-identity,"Use canonical model extraction: strip option prefix, preserve hyphenated and multi-token model numbers, reject dimensions.",source row is an option label containing a physical model after OPTION -; dimension token present; not a model ID; models differ: OPTION - EUROMAID 90CM PYRAMID CANOPY RANGEHOOD CPT9MB vs CPT9MB; product IDs differ under old versus canonical identity
1211,Euromaid,EUROMAID 900MM UNDER CUPBOARD RANGEHOOD OPTION - EUROMAID 90CM FIXED/UNDERCUPBOARD RANGEHOOD FS90S,EACH,FS90S,FS90S,rangehoods,rangehoods,brand-model:euromaid:fs90s,euromaid::fs90s,component,component,product:appliances:appliance-packs:euromaid:1209,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,product:appliances:rangehoods:euromaid:fs90s,product:appliances:rangehoods:euromaid:fs90s,299,299,none,No change required.,source row is an option label containing a physical model after OPTION -; dimension token present; not a model ID
1212,Euromaid,EUROMAID DISHWASHER OPTION - EUROMAID 60CM DISHWASHER EDW14S,EACH,OPTION - EUROMAID 60CM DISHWASHER EDW14S,EDW14S,dishwashers,dishwashers,brand-model:euromaid:option-euromaid-60cm-dishwasher-edw14s,euromaid::edw14s,component,component,product:appliances:appliance-packs:euromaid:1209,pack:appliances:euromaid:euromaid-pack-900mm-upright-cooker-under-cupboard-pack-upright-cooker-900-under-cupboard-rangehood-dishwasher,product:appliances:dishwashers:euromaid:option-euromaid-60cm-dishwasher-edw14s,product:appliances:dishwashers:euromaid:edw14s,599,599,model-extraction|product-identity,"Use canonical model extraction: strip option prefix, preserve hyphenated and multi-token model numbers, reject dimensions.",source row is an option label containing a physical model after OPTION -; models differ: OPTION - EUROMAID 60CM DISHWASHER EDW14S vs EDW14S; product IDs differ under old versus canonical identity
1213,Omega,OMEGA PACK - 900MM BUILT-IN GAS COOKTOP PACK - 900 OVEN / GAS COOKTOP / 900 SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,pack:pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:omega:1213,pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,,,2996,2996,none,No change required.,dimension token present; not a model ID
1214,Omega,- OMEGA 60CM 4 FUNCTION OVEN OBO660X,EACH,OBO660X,OBO660X,ovens,ovens,brand-model:omega:obo660x,omega::obo660x,component,component,product:appliances:appliance-packs:omega:1213,pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,product:appliances:ovens:omega:obo660x,product:appliances:ovens:omega:obo660x,599,599,none,No change required.,
1215,Omega,- OMEGA 60CM INDUCTION COOKTOP OCI64Z,EACH,OCI64Z,OCI64Z,cooktops,cooktops,brand-model:omega:oci64z,omega::oci64z,component,component,product:appliances:appliance-packs:omega:1213,pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,product:appliances:cooktops:omega:oci64z,product:appliances:cooktops:omega:oci64z,899,899,none,No change required.,
1216,Omega,- OMEGA 60CM SLIDE OUT RANGEHOOD ORT6WBA,EACH,ORT6WBA,ORT6WBA,rangehoods,rangehoods,brand-model:omega:ort6wba,omega::ort6wba,component,component,product:appliances:appliance-packs:omega:1213,pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,product:appliances:rangehoods:omega:ort6wba,product:appliances:rangehoods:omega:ort6wba,299,299,none,No change required.,
1217,Omega,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,ODW702XB,ODW702XB,dishwashers,dishwashers,brand-model:omega:odw702xb,omega::odw702xb,component,component,product:appliances:appliance-packs:omega:1213,pack:appliances:omega:omega-pack-900mm-built-in-gas-cooktop-pack-900-oven-gas-cooktop-900-slideout-rangehood-dishwasher,product:appliances:dishwashers:omega:odw702xb,product:appliances:dishwashers:omega:odw702xb,699,699,none,No change required.,
1218,Omega,OMEGA PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,pack:pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:omega:1218,pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,,,2496,2496,none,No change required.,dimension token present; not a model ID
1219,Omega,- OMEGA 60CM 4 FUNCTION OVEN OBO660X,EACH,OBO660X,OBO660X,ovens,ovens,brand-model:omega:obo660x,omega::obo660x,component,component,product:appliances:appliance-packs:omega:1218,pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:ovens:omega:obo660x,product:appliances:ovens:omega:obo660x,599,599,none,No change required.,
1220,Omega,- OMEGA 60CM 4 BURNER GAS COOKTOP OCG604X,EACH,OCG604X,OCG604X,cooktops,cooktops,brand-model:omega:ocg604x,omega::ocg604x,component,component,product:appliances:appliance-packs:omega:1218,pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:cooktops:omega:ocg604x,product:appliances:cooktops:omega:ocg604x,399,399,none,No change required.,
1221,Omega,- OMEGA 60CM SLIDE OUT RANGEHOOD ORT6WBA,EACH,ORT6WBA,ORT6WBA,rangehoods,rangehoods,brand-model:omega:ort6wba,omega::ort6wba,component,component,product:appliances:appliance-packs:omega:1218,pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:omega:ort6wba,product:appliances:rangehoods:omega:ort6wba,299,299,none,No change required.,
1222,Omega,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,ODW702XB,ODW702XB,dishwashers,dishwashers,brand-model:omega:odw702xb,omega::odw702xb,component,component,product:appliances:appliance-packs:omega:1218,pack:appliances:omega:omega-pack-600mm-electric-cooktop-pack-oven-electric-cooktop-slideout-rangehood-dishwasher,product:appliances:dishwashers:omega:odw702xb,product:appliances:dishwashers:omega:odw702xb,699,699,none,No change required.,
1223,Omega,OMEGA PACK - 600MM GAS COOKTOP PACK - OVEN / GAS COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,,appliance-packs,appliance-packs,pack:pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,pack:pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,pack,pack,product:appliances:appliance-packs:omega:1223,pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,,,1996,1996,none,No change required.,dimension token present; not a model ID
1224,Omega,OMEGA 600MM CANOPY RANGEHOOD OPTION - OMEGA 60CM CANOPY RANGEHOOD ORC60X,EACH,OPTION - OMEGA 60CM CANOPY RANGEHOOD ORC60X,ORC60X,rangehoods,rangehoods,brand-model:omega:option-omega-60cm-canopy-rangehood-orc60x,omega::orc60x,component,component,product:appliances:appliance-packs:omega:1223,pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:omega:option-omega-60cm-canopy-rangehood-orc60x,product:appliances:rangehoods:omega:orc60x,399,399,model-extraction|product-identity,"Use canonical model extraction: strip option prefix, preserve hyphenated and multi-token model numbers, reject dimensions.",source row is an option label containing a physical model after OPTION -; dimension token present; not a model ID; models differ: OPTION - OMEGA 60CM CANOPY RANGEHOOD ORC60X vs ORC60X; product IDs differ under old versus canonical identity
1225,Omega,OMEGA 600MM UNDER CUPBOARD RANGEHOOD OPTION - OMEGA 60CM UNDER CUPBOARD RANGEHOOD ORF60X,EACH,OPTION - OMEGA 60CM UNDER CUPBOARD RANGEHOOD ORF60X,ORF60X,rangehoods,rangehoods,brand-model:omega:option-omega-60cm-under-cupboard-rangehood-orf60x,omega::orf60x,component,component,product:appliances:appliance-packs:omega:1223,pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:rangehoods:omega:option-omega-60cm-under-cupboard-rangehood-orf60x,product:appliances:rangehoods:omega:orf60x,249,249,model-extraction|product-identity,"Use canonical model extraction: strip option prefix, preserve hyphenated and multi-token model numbers, reject dimensions.",source row is an option label containing a physical model after OPTION -; dimension token present; not a model ID; models differ: OPTION - OMEGA 60CM UNDER CUPBOARD RANGEHOOD ORF60X vs ORF60X; product IDs differ under old versus canonical identity
1226,Omega,- OMEGA 90CM 9 FUNCTION OVEN OBO960X1,EACH,OBO960X1,OBO960X1,ovens,ovens,brand-model:omega:obo960x1,omega::obo960x1,component,component,product:appliances:appliance-packs:omega:1223,pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:ovens:omega:obo960x1,product:appliances:ovens:omega:obo960x1,1199,1199,none,No change required.,
1227,Omega,- OMEGA 90CM INDUCTION COOKTOP OI90Z,EACH,OI90Z,OI90Z,cooktops,cooktops,brand-model:omega:oi90z,omega::oi90z,component,component,product:appliances:appliance-packs:omega:1223,pack:appliances:omega:omega-pack-600mm-gas-cooktop-pack-oven-gas-cooktop-slideout-rangehood-dishwasher,product:appliances:cooktops:omega:oi90z,product:appliances:cooktops:omega:oi90z,1399,1399,none,No change required.,
